No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),β-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
1,GP053,Abon haruwan,"11,6",513,"23,7","37,0","21,3",-,"6,4",25,25,"0,5",61,"15,0",-,"0,2",-,-,-,-,-,-,-,100,Olahan,Ikan dsb,KZGMI-2001
2,GP054,Abon ikan,"6,4",435,"27,2","20,2","36,1",-,"10,1",-,-,-,-,-,-,-,-,-,-,-,"0,80","24,3",-,100,Olahan,Ikan dsb,KZGMI-2001
3,DR001,"Akar tonjong, segar","86,7",45,"1,1","0,4","10,8","1,2","1,0",72,125,"1,3",96,"1.147,1","0,02","0,2",-,83,90,"0,02","0,03","1,9",2,100,Tunggal,Sayur,KZGPI-1990
4,DR002,"Ale,toge, segar","90,6",37,"4,4","0,5","3,8","1,7","0,7",50,248,"2,0",2,"105,0","0,16","0,4",-,-,35,"0,02","0,09","0,6",46,90,Tunggal,Sayur,KZGPI-1990
5,ER001,"Alpukat, segar","84,3",85,"0,9","6,5","7,7",-,"0,6",10,20,"0,9",2,"278,0","0,20","0,4",-,189,180,"0,05","0,08","1,0",13,61,Tunggal,Buah,DABM-1964
6,AP026,Amparan tatak,"58,4",191,"1,3","5,5","34,0",-,"0,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001
7,CP015,Ampas kacang hijau,"70,6",96,"3,7","0,6","19,1","2,7","0,6",133,150,"1,3",-,-,-,-,-,-,-,"0,05",-,-,-,100,Olahan,Kacang,KZGPI-1990
8,CP017,Ampas tahu kukus,"82,5",75,"4,1","2,1","10,7","5,1","0,6",203,60,"1,3",-,-,-,-,-,-,-,"0,07",-,-,-,100,Olahan,Kacang,KZGPI-1990
9,CP018,"Ampas tahu, kering","9,0",414,"26,6","18,3","41,3",-,"5,8",19,29,"4,0",45,"1.055,7","0,99","2,8",-,-,-,"0,20","0,10","0,5",-,100,Olahan,Kacang,DABM-1964
10,CP016,"Ampas tahu, mentah","84,1",67,"5,0","2,1","8,1","4,1","0,6",460,88,"1,0",8,"184,5","0,17","0,5",-,-,-,"0,06","0,02","0,1",-,100,Olahan,Kacang,KZGPI-1990
11,FR001,"Anak sapi, daging, gemuk, segar","62,0",184,"18,8","14,0",-,-,"5,2",10,200,"2,2",118,"490,1","0,17","5,8",12,37,-,"0,13","0,17","7,0",-,100,Tunggal,Daging,DABM-1964
12,FR002,"Anak sapi, daging, kurus, segar","69,0",174,"19,6","10,0",-,-,"1,4",11,201,"2,9",96,"399,8","0,14","4,8",6,30,-,"0,08","0,14","5,7",-,100,Tunggal,Daging,DABM-1964
13,FR003,"Anak sapi, daging, sedang, segar","68,0",190,"19,1","12,0",-,-,"0,9",11,193,"2,9",99,"412,7","0,14","4,9",12,83,-,"0,14","0,15","5,9",-,100,Tunggal,Daging,DABM-1964
14,DR003,"Andaliman, segar","74,2",99,"4,6","1,0","18,0","8,5","2,2",383,107,"2,9",-,-,-,-,-,-,6.300,"3,00",-,-,15,100,Tunggal,Sayur,KZGPI-1990
15,DR004,"Andewi, segar","91,8",226,"1,6","0,2","5,3","4,1","1,1",33,66,"1,0",29,"414,6","0,13","1,0",-,1.717,-,"0,14","0,09","0,5",10,80,Tunggal,Sayur,DABM-1964
16,ER002,"Anggur hutan, segar","92,3",30,"0,5","0,2","6,8","1,2","0,2",39,12,"1,1",-,-,-,-,-,-,1,"0,01",-,-,3,100,Tunggal,Buah,KZGPI-1990
17,FR004,"Angsa, daging, segar","51,1",349,"16,4","31,5",-,-,"1,0",15,188,"1,8",71,"299,2","0,26","1,7",273,-,-,"0,10","0,24","7,1",-,60,Tunggal,Daging,DABM-1964
18,DP023,"Anyang, sayur","76,9",126,"3,4","7,9","10,3","5,4","1,5",180,1,"2,9",290,"181,0","0,30","1,2",-,3.263,-,"0,20",-,-,-,100,Olahan,Sayur,KZGMI-2001
19,AP027,"Apang kukus, kue","49,5",202,"3,0","0,3","46,7",-,"0,5",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001
20,ER003,"Apel malang, segar","85,9",57,"0,5","0,4","12,8","0,8","0,3",9,18,"0,6",4,"175,4","110,16",-,-,26,2.240,"0,05","0,03","0,1",5,88,Tunggal,Buah,KZGPI-1990
21,ER004,"Apel, segar","84,1",58,"0,3","0,4","14,9","2,6","0,3",6,10,"0,3",2,"130,0","124,20","0,3",-,30,90,"0,04","0,03","0,1",5,88,Tunggal,Buah,DABM-1964
22,AP028,"Apem, kue","63,1",148,"2,0","0,5","33,9",-,"0,5",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001
23,ER005,"Arbai, segar","89,9",37,"0,8","0,5","8,3",-,"0,5",28,27,"0,8",2,"43,0","63,52","18,9",-,2,60,"0,03",-,"0,1",60,96,Tunggal,Buah,DABM-1964
24,DP024,"Ares, sayur","77,7",113,"0,9","7,2","11,2","4,7","3,0",63,5,"1,5",1.413,"1.030,0","0,70","3,8",-,6,-,"0,10",-,"0,5",-,100,Olahan,Sayur,KZGMI-2001
25,BR001,"Arrowroot, segar","73,5",102,"1,0","0,2","24,1","1,7","1,2",28,35,"1,7",36,"626,6","0,20","0,8",-,15,-,"0,06","0,10","2,3",2,100,Tunggal,Umbi,KZGPI-1990
26,DP025,Arwan sirsir,"59,0",277,"2,4","25,0","10,7","4,6","2,9",120,40,"2,4",240,"320,0","0,20","0,9",-,1.578,-,"0,10","0,20",-,11,100,Olahan,Sayur,KZGMI-2001
27,NR001,"Asam arang coklat, segar","66,1",130,"0,5","1,1","30,9","1,5","1,4",79,113,"4,3",13,-,-,-,-,745,-,"0,01","0,20",-,-,-,Tunggal,Bumbu,KZGPI-1990
28,NR002,"Asam arang merah, segar","75,9",99,"0,8","1,6","20,3","2,8","1,4",69,300,"4,6",2,"95,7",-,"0,1",-,529,-,"0,01","0,34","1,6",-,-,Tunggal,Bumbu,KZGPI-1990
29,NR003,"Asam kandis, kering","32,2",261,"0,9","1,6","63,3","5,0","2,0",192,657,"4,4",26,"341,4","0,40","0,3",-,"0,2",-,-,-,"0,4",-,100,Tunggal,Bumbu,KZGPI-1990
30,NR004,"Asam kandis, segar","81,5",75,"0,2","1,1","16,1","3,4","1,1",63,139,"2,5",7,"93,2","0,10","0,1",-,41,-,"0,01",-,"0,1",-,-,Tunggal,Bumbu,KZGPI-1990
31,NR005,"Asam masak pohon, segar","31,4",267,"2,8","0,6","62,5","1,2","2,7",74,113,"0,6",9,"139,5","0,09","0,1",-,9,30,"0,34","0,04","0,7",2,48,Tunggal,Bumbu,DABM-1964
32,NR006,"Asam payak, segar","65,1",135,"0,8","0,4","32,1","10,0","1,6",60,39,"5,7","0,2",-,-,-,-,-,-,-,-,-,-,-,Tunggal,Bumbu,KZGPI-1990
33,DP022,"Asinan Bogor, sayuran","78,0",98,"3,9","2,6","14,8","0,5","0,7",314,17,"1,2",483,-,-,-,10,-,146,"0,28",-,-,5,100,Olahan,Sayur,KZGMS-1993
34,FP021,"Ayam goreng church texas, dada","42,2",338,"35,2","20,6","0,4",-,"1,5",79,221,"5,6",800,"369,5","0,16","1,1",16,-,80,"0,52","0,16","12,1",-,100,Olahan,Daging,KZGPI-1990
35,FP023,"Ayam goreng church texas, sayap","47,2",295,"34,0","16,0","1,5",-,"1,3",81,179,"3,0",771,"237,2","0,16","1,2",13,-,50,"0,44","0,13","6,2",-,100,Olahan,Daging,KZGPI-1990
36,FP022,"Ayam goreng church,texas paha","50,3",287,"31,0","15,7","1,7",-,"1,3",99,176,"4,1",723,"257,0","0,17","1,5",22,-,30,"0,66","0,20","5,3",-,100,Olahan,Daging,KZGPI-1990
37,FP024,"Ayam goreng kalasan, paha","46,2",275,"37,4","12,2","1,3",-,"2,9",116,237,"5,8",176,"321,9","0,16","1,5",10,-,50,"0,10",-,-,-,100,Olahan,Daging,KZGPI-1990
38,FP025,"Ayam goreng kentucky, dada","46,5",298,"34,2","16,8","0,1",-,"2,5",90,284,"5,5",741,"342,0","0,07","1,0",36,-,50,"0,19",-,-,-,100,Olahan,Daging,KZGPI-1990
39,FP026,"Ayam goreng Kentucky, paha","48,7",286,"32,1","16,1","1,1",-,"2,0",89,248,"6,9",746,"265,2","0,09","2,3",31,-,20,"0,50","0,21","5,5",-,100,Olahan,Daging,KZGPI-1990
40,FP027,"Ayam goreng Kentucky,sayap","44,7",297,"35,9","15,2","1,6",-,"2,6",103,227,"4,4",807,"248,4","0,06","1,4",22,-,70,"0,73","0,14","6,5",-,100,Olahan,Daging,KZGPI-1990
41,FP028,Ayam goreng mbok berek dada,"43,4",295,"39,2","13,6","1,0",-,"2,8",114,278,"5,4",-,-,-,-,8,-,50,"0,19",-,-,-,100,Olahan,Daging,KZGPI-1990
42,FP029,"Ayam goreng pasundan, dada","50,1",246,"37,9","9,0","0,7",-,"2,3",90,260,"7,5",-,-,-,-,6,-,70,"0,16",-,-,-,100,Olahan,Daging,KZGPI-1990
43,FP030,"Ayam goreng pasundan, paha","52,8",245,"33,1","11,4","0,3",-,"2,5",90,283,"7,3",-,-,-,-,8,-,40,"0,37",-,-,-,100,Olahan,Daging,KZGPI-1990
44,FP031,"Ayam goreng pioneer, dada","44,5",295,"37,4","14,7","0,6",-,"2,7",108,236,"6,8",-,-,-,-,16,-,80,"0,10",-,-,-,100,Olahan,Daging,KZGPI-1990
45,FP032,"Ayam goreng sukabumi, dada","49,8",244,"36,7","9,2","1,0",-,"3,4",81,154,"6,1",-,-,-,-,20,-,80,"0,66",-,-,-,100,Olahan,Daging,KZGPI-1990
46,FP033,"Ayam goreng sukabumi, paha","46,0",283,"35,7","14,3","0,5",-,"3,6",68,106,"5,4",-,-,-,-,11,-,60,"0,36",-,-,-,100,Olahan,Daging,KZGPI-1990
47,FP034,"Ayam taliwang, masakan","57,5",264,"18,2","20,1","2,7",-,"1,5",94,164,"2,0",507,"408,0","0,40","12,3",1.067,-,-,-,-,-,-,100,Olahan,Daging,KZGMI-2001
48,FP001,"Ayam, ampela, goreng","4,8",270,"32,3","11,2","9,9",-,"1,8",129,314,"4,9",980,-,"0,12","3,3",56,-,-,"0,21",-,"4,7",-,100,Olahan,Daging,KZGMS-1993
49,FR005,"Ayam, daging, segar","55,9",298,"18,2","25,0",-,-,"0,9",14,200,"1,5",109,"385,9","0,11","2,0",245,5,-,"0,08","0,14","10,4",-,58,Tunggal,Daging,DABM-1964
50,FR006,"Ayam, dideh/darah, segar","82,0",75,"13,8","1,9","0,7",-,"1,6",15,9,"1,3",337,"234,0",-,-,15,-,-,"0,02",-,"0,6",-,100,Tunggal,Daging,DABM-1964
51,FR007,"Ayam, hati, segar","53,4",261,"27,4","16,1","1,6",-,"1,5",118,373,"15,8",1.068,"22,9","0,84","0,0",4.957,169,28.000,"0,64","4,38","4,1",-,100,Tunggal,Daging,KZGMS-1993
52,FP002,"Ayam, usus, goreng","4,6",473,"45,2","26,3","13,9",-,"10,1",1.407,458,"8,4",-,-,-,-,6,-,224,"0,57",-,-,-,100,Olahan,Daging,KZGPI-1990
53,FP035,"Babi hutan masak rica, masakan","56,2",491,"24,6","16,3","0,2",-,"2,7",18,144,"1,2",1.415,"327,0","0,20","2,6",2.193,-,-,"0,61","0,47",-,"0,2",100,Olahan,Daging,KZGMI-2001
54,FR008,"Babi, daging, gemuk,segar","42,0",453,"11,9","45,0",-,-,"1,1",7,117,"1,8",112,"819,3","0,22","0,4",-,-,-,"0,58","0,59","5,9",-,100,Tunggal,Daging,DABM-1964
55,FR009,"Babi, daging, kurus, segar","50,0",371,"14,1","35,0",-,-,"0,9",8,151,"2,1",97,"706,3","0,19","0,4",-,-,-,"0,67","0,33","5,4",-,100,Tunggal,Daging,DABM-1964
56,FR010,"Babi, ginjal, segar","77,1",110,"16,3","4,6","0,8",-,"1,2",11,246,"8,0",139,"390,0","0,71","3,2",39,10,-,"0,58","1,59","9,1",13,100,Tunggal,Daging,DABM-1964
57,FR011,"Babi, hati, segar","72,3",129,"19,7","4,8","1,7",-,"1,5",10,362,"18,0",110,"447,0","0,58","0,1",4.303,6,-,"0,40","1,16","5,7",23,100,Tunggal,Daging,DABM-1964
58,BP013,Bagea kelapa asin,"3,5",450,"3,2","13,9","78,1",-,"1,3",38,38,"0,3",74,-,"0,20","0,2",-,-,-,"0,30",-,-,-,100,Olahan,Umbi,KZGMI-2001
59,BP014,Bagea kelapa manis,"3,0",452,"1,3","13,8","80,6",-,"1,3",38,39,"0,3",75,-,"0,20","0,2",-,-,"0,3",-,-,-,-,100,Olahan,Umbi,KZGMI-2001
60,BP015,Bagea kenari asin,"2,8",529,"3,2","29,1","63,6",-,"1,3",38,40,"0,4",74,-,"0,20","0,2",-,-,-,"0,30",-,-,-,100,Olahan,Umbi,KZGMI-2001
61,BP016,Bagea kenari manis,"3,1",523,"3,2","28,2","64,2",-,"1,3",38,39,"0,3",74,-,"0,20","0,2",-,-,-,"0,30",-,-,-,100,Olahan,Umbi,KZGMI-2001
62,BP017,Bagea kw 1,"7,2",416,"6,5","9,4","76,3","0,4","0,6",49,77,"4,9",-,-,-,-,13,-,312,"0,08",-,"2,6",-,100,Olahan,Umbi,KZGPI-1990
63,BP018,Bagea kw 2,"7,9",382,"0,3","3,5","87,2","0,9","1,1",172,120,"7,6",-,-,-,-,-,-,-,"0,02",-,-,-,100,Olahan,Umbi,KZGPI-1990
64,AP030,"Bakpia, kue","38,9",272,"8,7","6,7","44,1","0,9","1,6",194,117,"4,5",-,-,-,-,-,-,1.392,"0,31","1,00","2,9",-,100,Olahan,Serealia,KZGPI-1990
65,DR005,"Bakung, segar","92,5",27,"2,0","0,2","4,2","3,8","1,1",19,20,"0,5",37,"340,0","0,20","0,3",-,1.080,-,"0,20","0,10","0,3",42,100,Tunggal,Sayur,KZGMI-2001
66,AP031,Bakwan,"40,5",280,"8,2","10,2","39,0","3,4","2,1",204,79,"7,0",-,-,-,-,-,-,-,"0,08",-,-,-,100,Olahan,Serealia,KZGPI-1990
67,NP001,Balichong,"59,9",152,"13,2","0,8","22,9","1,5","3,6",380,210,"2,9",120,"310,0","0,80","1,1",34,-,-,"0,01","0,08","0,2",-,-,Olahan,Bumbu,KZGMI-2001
68,DR006,"Baligo, segar","96,1",15,"0,4","0,2","3,0","0,4","0,3",19,19,"0,4",2,"131,1","0,02","0,6",-,-,-,"0,04","0,02","0,3",13,69,Tunggal,Sayur,DABM-1964
69,AP032,Bantal,"52,3",190,"3,3","0,3","43,5","3,4","0,6",9,-,"0,4",164,"84,0","0,20","0,9",-,-,-,"0,27","0,02","3,6",-,100,Olahan,Serealia,KZGMI-2001
70,EP001,Barongko,"66,7",159,"3,1","5,8","23,5",-,"0,7",35,65,"1,2",46,"78,0","0,30","0,6",-,-,-,-,-,-,8,100,Olahan,Buah,KZGMI-2001
71,AP033,Baruasa,"5,3",417,"6,5","8,2","79,3",-,"0,7",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001
72,AP034,Batar daan,"75,3",107,"2,2","2,2","19,6",-,"0,7",20,30,"0,6",200,"90,0","0,10",-,-,-,-,"0,18","0,02",-,-,100,Olahan,Serealia,KZGMI-2001
73,BR002,"Batatas gembili, segar","76,7",76,"1,1","0,9","16,0","4,2","0,7",-,40,"0,2",10,"200,0","0,20","0,3",-,-,-,"0,06",-,"0,9",-,85,Tunggal,Umbi,KZGMI-2001
74,BP001,"Batatas kelapa, ubi, bakar","73,2",110,"1,4","1,1","23,4","4,5","0,7",1,46,"0,2",12,"230,0","0,20","0,3",-,-,-,"1,13",-,-,-,85,Olahan,Umbi,KZGMI-2001
75,BP002,"Batatas kelapa, ubi, kukus","75,7",92,"1,2","0,3","21,0","4,1","1,8",-,42,"0,2",10,"209,0","0,20","0,3",-,-,-,"0,28",-,"0,7",-,100,Olahan,Umbi,KZGMI-2001
76,BR003,"Batatas kelapa, ubi, segar","76,1",89,"1,1","0,1","21,0","4,0","0,7",-,40,"0,2",20,"340,0","0,10","0,2",-,-,-,"0,38",-,"0,9",-,85,Tunggal,Umbi,KZGMI-2001
77,BP003,"Batatas tali, ubi, rebus","53,2",182,"2,4","0,4","42,2","9,2","1,8",1,80,"0,3",20,"402,0","0,30","0,6",-,-,-,"0,27",-,"1,3",-,100,Olahan,Umbi,KZGMI-2001
78,DR007,"Bawang bombay, segar","87,5",43,"1,4","0,2","10,3","2,0","0,6",32,44,"0,5",12,"9,6","0,10","0,3",-,788,50,"0,03","0,21","0,4",9,94,Tunggal,Sayur,DABM-1964
79,NR007,"Bawang merah, segar","88,0",46,"1,5","0,3","9,2","1,7","1,0",36,40,"0,8",7,"178,6","0,06","0,2",-,2,-,"0,03","0,04","0,2",2,90,Tunggal,Bumbu,DABM-1964
80,NR008,"Bawang putih, segar","71,0",112,"4,5","0,2","23,1","0,6","1,8",42,134,"1,0",46,"665,7","0,09","0,4",-,-,-,"0,22","0,07","0,3",15,88,Tunggal,Bumbu,DABM-1964
81,DR009,"Bayam merah, segar","88,5",41,"2,2","0,8","6,3","2,2","2,2",520,80,"7,0",20,"60,0","0,20","0,8",-,7.325,-,"0,20","0,10","0,1",62,71,Tunggal,Sayur,KZGMI-2001
82,DP001,"Bayam, kukus","90,7",30,"1,3","0,7","5,8","1,2","1,6",239,35,"5,7",15,"431,0","0,10","0,3",-,2.699,3.750,"0,02","0,10","0,9",32,100,Olahan,Sayur,KZGPI-1990
83,DP002,"Bayam, rebus","93,5",23,"1,2","0,6","3,7","1,1","1,0",150,35,"0,5",16,"308,4","0,20","0,3",-,3.282,2.864,"0,02","0,10","0,9",19,100,Olahan,Sayur,KZGPI-1990
84,DR008,"Bayam, segar","94,5",16,"0,9","0,4","2,9","0,7","1,3",166,76,"3,5",16,"456,4","0,13","0,4",-,2.699,2.293,"0,04","0,10","1,0",41,71,Tunggal,Sayur,KZGPI-1990
85,HP005,"Bayau mi balu, masakan","36,1",313,"6,0","12,2","44,8",-,"0,9",-,-,-,-,-,-,-,783,89,-,"0,14","0,27","9,7",-,100,Olahan,Telur,KGZMI-2001
86,FR012,"Bebek (itik), daging, segar","54,3",321,"16,0","28,6",-,-,"1,1",15,188,"1,8",54,"199,0","0,21","1,2",273,-,-,"0,10","0,28","4,3",-,60,Tunggal,Daging,DABM-1964
87,FR013,"Bebek alabio, daging, segar","57,0",303,"11,3","27,0","3,7",-,"1,0",20,293,"4,8",50,"260,0","0,70","2,0",-,-,-,"0,36","0,04","4,1",-,100,Tunggal,Daging,KZGMI-2001
88,FP003,"Bebek, daging, goreng","48,8",300,"24,0","20,7","4,5",-,"2,0",170,170,"4,1",34,"6,0","0,40","3,0",-,-,-,"0,10","0,40","10,6",-,100,Olahan,Daging,KZGMI-2001
89,DP026,Beberuk,"89,1",65,"1,1","5,2","3,5","3,1","1,1",179,72,"8,3",53,"427,0","0,40","0,2",-,44,-,"0,30",-,"4,4",-,100,Olahan,Sayur,KZGMI-2001
90,FP036,Beef burger,"45,5",258,"10,6","9,5","32,5","0,4","2,2",210,157,"2,6",572,"189,1",-,-,218,-,7.580,"0,95",-,-,-,100,Olahan,Daging,KZGMS-1993
91,FP037,"Beef teriyaki, masakan","65,1",151,"8,6","3,1","22,3","0,3","0,9",142,62,"2,3",377,-,-,-,22,-,400,"0,53",-,-,-,100,Olahan,Daging,KZGMS-1993
92,FP038,"Beef yakiniku, masakan","67,7",132,"9,8","1,1","20,7","0,3","0,8",302,67,"2,0",409,-,-,-,78,-,700,"0,62",-,-,-,100,Olahan,Daging,KZGMS-1993
93,NP002,Bekasam,"65,5",116,"11,9","4,9","6,1","3,5","11,6",704,757,"7,5",711,"176,0","0,80","1,9",-,-,-,-,"0,03","2,1",-,-,Olahan,Bumbu,KZGMI-2001
94,NP003,Bekasang,"67,1",78,"11,4","2,0","3,6","0,4","15,9",54,97,"2,6",4.016,"121,0","0,20","4,8",-,-,-,"0,15","0,12","0,6",-,-,Olahan,Bumbu,KZGMI-2001
95,GP001,"Bekicot, dendeng, mentah","6,7",441,"48,7","20,3","15,8",-,"8,4",692,523,"16,6",-,-,-,-,6,-,1.408,"0,56",-,-,69,100,Olahan,Ikan dsb,KZGPI-1990
96,FR014,"Belibis, daging, segar","71,3",131,"20,2","4,3","2,8",-,"1,4",8,192,"9,6",46,"104,0","1,20","1,6",-,-,-,"0,37","0,08","2,7",-,100,Tunggal,Daging,KZGMI-2001
97,ER006,"Belimbing, segar","90,0",36,"0,4","0,4","8,8","3,3","0,4",4,12,"1,1",4,"130,0",-,"0,1",-,29,170,"0,03",-,-,35,86,Tunggal,Buah,DABM-1964
98,BP004,"Belitung, talas, kukus","63,1",145,"1,2","0,4","34,2","1,0","1,1",21,48,"0,9",7,"552,6","0,20","0,9",-,-,-,"0,08","0,10","2,3",1,100,Olahan,Umbi,KZGPI-1990
99,BR004,"Belitung, talas, segar","63,1",145,"1,2","0,4","34,2","1,5","1,1",26,54,"1,4",6,"536,1","0,20","0,9",-,-,-,"0,10","0,10","2,3",2,85,Tunggal,Umbi,KZGPI-1990
100,GP002,"Belut, goreng","11,2",417,"25,9","19,4","32,0",-,"11,5",840,872,"4,9",71,"217,7","0,30","1,8",-,-,-,-,"0,20","10,5",-,-,Olahan,Ikan dsb,KZGPI-1990
101,GR011,"Belut, segar","81,5",70,"14,6","0,8","1,0",-,"2,1",49,155,"1,5",55,"169,0","0,20","1,2",-,-,-,"0,22","0,12","7,7",-,-,Tunggal,Ikan dsb,KZGMI-2001
102,GR012,"Belut,laut, segar","79,5",93,"12,8","1,5","6,1",-,"4,1",60,199,"3,0",33,"175,9","0,10","1,0",51,3,71,"0,06",-,"2,7",-,-,Tunggal,Ikan dsb,KZGPI-1990
103,BR005,"Bengkuang, segar","85,1",59,"1,4","0,2","12,8","1,0","0,5",15,18,"0,6",2,"244,3","0,10","0,3",-,-,-,"0,04","0,10","0,2",20,84,Tunggal,Umbi,DABM-1964
104,BR006,"Bentul (Komba), talas, segar","75,8",98,"1,6","0,7","20,9","0,7","1,8",44,66,"1,5",-,"195,5","0,20","0,6",-,-,-,"0,02","0,10","0,8",-,86,Tunggal,Umbi,KZGPI-1990
105,BP005,"Bentul, talas, kukus","81,1",71,"2,3","0,3","15,4","0,5","0,9",29,26,"0,6",-,"201,0","0,20","0,6",-,-,-,"0,06",-,-,21,100,Olahan,Umbi,KZGPI-1990
106,BP019,Beras Cerdas,"11,3",350,"2,7","1,1","82,3","6,2","2,6",28,351,"2,9",358,"568,0","0,20","0,9",-,"0,4",-,"0,02","0,20","0,3","0,2",100,Olahan,Umbi,BKP
107,BP020,Beras ganyong,"9,3",364,"3,4","0,7","86,3","4,7","0,5",4,47,"5,0",4,"72,2","0,20","0,6",-,1.000,"0,1","0,02","0,02","0,3","0,2",100,Olahan,Umbi,BKP
108,AR002,"Beras giling var pelita, mentah","11,4",369,"9,5","1,4","77,1","0,4","0,6",68,171,"1,4",34,-,-,-,-,-,-,"0,26",-,-,-,100,Tunggal,Serealia,KZGPI-1990
109,AR003,"Beras giling var rojolele, mentah","12,0",357,"8,4","1,7","77,1","0,2","0,8",147,81,"1,8",34,"112,9","0,14","0,1",-,-,80,"0,20","0,02","1,5",-,100,Tunggal,Serealia,KZGPI-1990
110,AR001,"Beras giling, mentah","12,0",357,"8,4","1,7","77,1","0,2","0,8",147,81,"1,8",27,"71,0","0,10","0,5",-,-,-,"0,20","0,08","2,6",-,100,Tunggal,Serealia,KZGMI-2001
111,AR004,"Beras hitam, mentah","12,9",351,"8,0","1,3","76,9","20,1","0,9",6,198,"0,1",15,"105,0","0,10","1,6",-,-,-,"0,21","0,06",-,-,100,Tunggal,Serealia,KZGMI-2001
112,AR005,"Beras jagung kuning, kering, mentah","10,8",358,"5,5","0,1","82,7","10,0","0,9",20,90,"1,4",1,"80,0","0,10","4,1",-,641,-,"0,12","0,08","1,0",3,100,Tunggal,Serealia,KZGMI-2001
113,AR006,"Beras jagung putih, kering, mentah","22,5",307,"4,8","0,1","71,8","10,0","0,8",17,78,"1,2",1,"70,0","0,10","3,5",-,301,-,"0,15","0,07","0,9",-,100,Tunggal,Serealia,KZGMI-2001
114,AR007,"Beras ketan hitam tumbuk, mentah","13,7",360,"8,0","2,3","74,5","1,0","1,5",10,347,"6,2",11,"288,0","0,28","2,2",-,-,-,"0,24","0,10","2,0",-,100,Tunggal,Serealia,KZGPI-1990
115,AR008,"Beras ketan putih tumbuk, mentah","12,9",361,"7,4","0,8","78,4","0,4","0,5",13,157,"3,4",3,"282,0","0,28","2,2",-,-,-,"0,28",-,"1,4",-,100,Tunggal,Serealia,KZGPI-1990
116,AR009,"Beras ladang, mentah","9,8",376,"7,5","3,8","78,0","5,9","0,9",20,110,"0,8",10,"70,0","0,10","1,4",-,-,-,"0,20","0,20","5,1",-,100,Tunggal,Serealia,KZGMI-2001
117,AR010,"Beras menir, mentah","12,0",362,"7,7","4,4","73,0","0,2","0,2",22,272,"3,7",90,"201,0","0,10","0,5",-,-,-,"0,55","0,04","1,9",-,100,Tunggal,Serealia,DABM-1964
118,AR011,Beras parboiled,"10,0",353,"6,8","0,6","80,0","0,5","2,5",5,142,"0,8",2,"46,0","0,28","1,0",-,-,-,"0,22","0,11","3,4",-,100,Tunggal,Serealia,DABM-1964
119,BP021,Beras Siger,"13,5",344,"1,1","0,2","28,3","5,6","0,7",32,22,"5,6",106,"77,9","0,10","0,5",-,-,-,"0,02","0,10","0,2","0,2",100,Olahan,Umbi,BKP
120,AR013,"Beras tumbuk merah, mentah","14,6",352,"7,3","0,9","76,2","0,8","1,0",15,257,"4,2",10,"202,0","0,36","1,9",-,-,-,"0,34","0,05","3,3",-,100,Tunggal,Serealia,KZGPI-1990
81,DR009,"Bayam merah, segar","88,5",41,"2,2","0,8","6,3","2,2","2,2",520,80,"7,0",20,"60,0","0,20","0,8",-,7.325,-,"0,20","0,10","0,1",62,71,Tunggal,Sayur,KZGMI-2001
82,DP001,"Bayam, kukus","90,7",30,"1,3","0,7","5,8","1,2","1,6",239,35,"5,7",15,"431,0","0,10","0,3",-,2.699,3.750,"0,02","0,10","0,9",32,100,Olahan,Sayur,KZGPI-1990
83,DP002,"Bayam, rebus","93,5",23,"1,2","0,6","3,7","1,1","1,0",150,35,"0,5",16,"308,4","0,20","0,3",-,3.282,2.864,"0,02","0,10","0,9",19,100,Olahan,Sayur,KZGPI-1990
84,DR008,"Bayam, segar","94,5",16,"0,9","0,4","2,9","0,7","1,3",166,76,"3,5",16,"456,4","0,13","0,4",-,2.699,2.293,"0,04","0,10","1,0",41,71,Tunggal,Sayur,KZGPI-1990
85,HP005,"Bayau mi balu, masakan","36,1",313,"6,0","12,2","44,8",-,"0,9",-,-,-,-,-,-,-,783,89,-,"0,14","0,27","9,7",-,100,Olahan,Telur,KGZMI-2001
86,FR012,"Bebek (itik), daging, segar","54,3",321,"16,0","28,6",-,-,"1,1",15,188,"1,8",54,"199,0","0,21","1,2",273,-,-,"0,10","0,28","4,3",-,60,Tunggal,Daging,DABM-1964
87,FR013,"Bebek alabio, daging, segar","57,0",303,"11,3","27,0","3,7",-,"1,0",20,293,"4,8",50,"260,0","0,70","2,0",-,-,-,"0,36","0,04","4,1",-,100,Tunggal,Daging,KZGMI-2001
